fight_id,event_name,event_date,location,venue,fighter1,fighter2,winner,method,round,time,weight_class,title_fight,gender,num_rounds,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_dob,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_dob,fighter1_sig_strikes_pm,fighter1_sig_strikes_acc,fighter1_sig_strikes_abs_pm,fighter1_sig_strikes_def,fighter1_takedown_avg,fighter1_takedown_acc,fighter1_takedown_def,fighter1_sub_avg,fighter2_sig_strikes_pm,fighter2_sig_strikes_acc,fighter2_sig_strikes_abs_pm,fighter2_sig_strikes_def,fighter2_takedown_avg,fighter2_takedown_acc,fighter2_takedown_def,fighter2_sub_avg,fighter1_wins,fighter1_losses,fighter1_draws,fighter1_win_streak,fighter1_lose_streak,fighter1_ko_wins,fighter1_sub_wins,fighter1_dec_wins,fighter2_wins,fighter2_losses,fighter2_draws,fighter2_win_streak,fighter2_lose_streak,fighter2_ko_wins,fighter2_sub_wins,fighter2_dec_wins,fighter1_odds,fighter2_odds,favorite,underdog,betting_outcome,fighter1_rank,fighter2_rank,data_source,ppv_buys,attendance,bonus_type
5eceb31c0080,,2013-08-31,"Milwaukee, Wisconsin, USA",,Chico Camus,Kyung Ho Kang,Chico Camus,DEC,3.0,5:00,Bantamweight,False,MALE,3,167.64,125.0,167.64,Orthodox,28,,175.26,135.0,185.42,Orthodox,25,,27.5,0.635,,,1.5,0.665,,0.5,16.0,0.37,,,5.0,0.55,,0.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,210.0,-230.0,,,,,,ufc_master,,,
c685e4821265,,2013-08-31,"Milwaukee, Wisconsin, USA",,Soa Palelei,Nikita Krylov,Soa Palelei,KO/TKO,3.0,1:34,Heavyweight,False,MALE,3,193.04,265.0,205.74,Orthodox,36,,190.5,205.0,195.58,Orthodox,21,,21.0,0.56,,,1.0,1.0,,0.0,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120.0,-130.0,,,,,,ufc_master,,,
046d4997bd5a,,2013-08-31,"Milwaukee, Wisconsin, USA",,Ryan Couture,Al Iaquinta,Al Iaquinta,DEC,3.0,5:00,Lightweight,False,MALE,3,177.8,155.0,190.5,Orthodox,31,,177.8,155.0,177.8,Orthodox,26,,29.0,0.37,,,1.0,0.14,,0.0,8.0,0.5,,,0.0,0.0,,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,185.0,-200.0,,,,,,ufc_master,,,
e06e84d21bd6,,2013-08-31,"Milwaukee, Wisconsin, USA",,Jared Hamman,Magnus Cedenblad,Magnus Cedenblad,SUB,1.0,0:57,Middleweight,False,MALE,3,190.5,185.0,190.5,Orthodox,31,,195.58,185.0,200.66,Orthodox,31,,46.1667,0.402,,,0.3333,0.167,,0.0,11.0,0.78,,,0.0,0.0,,1.0,2,4,0,0,2,1,0,1,0,1,0,0,1,0,0,0,120.0,-130.0,,,,,,ufc_master,,,
cae8a5c37933,,2013-08-31,"Milwaukee, Wisconsin, USA",,Louis Gaudinot,Tim Elliott,Tim Elliott,DEC,3.0,5:00,Flyweight,False,MALE,3,160.02,125.0,160.02,Orthodox,29,,170.18,135.0,167.64,Southpaw,26,,35.5,0.345,,,1.0,0.5,,0.5,57.5,0.435,,,3.5,0.25,,2.0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,210.0,-230.0,,,,,,ufc_master,,,
549b5dff578e,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Glover Teixeira,Ryan Bader,Glover Teixeira,KO/TKO,1.0,2:55,Light Heavyweight,False,MALE,5,187.96,205.0,193.04,Orthodox,33,,187.96,205.0,187.96,Orthodox,30,,48.0,0.515,,,2.25,0.625,,0.75,22.0,0.371,,,1.8182,0.231,,0.2727,4,0,0,4,0,0,2,1,8,3,0,1,0,3,1,4,-330.0,300.0,,,,,,ufc_master,,,
2abc0164842c,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Yushin Okami,Jacare Souza,Jacare Souza,KO/TKO,1.0,2:47,Middleweight,False,MALE,3,187.96,170.0,190.5,Southpaw,32,,185.42,185.0,182.88,Orthodox,33,,28.6471,0.4,,,1.5882,0.406,,0.4706,8.0,0.5,,,1.0,0.33,,1.0,13,4,0,3,0,4,0,8,1,0,0,1,0,0,1,0,210.0,-230.0,,,,,,ufc_master,,,
16b9e036e500,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Joseph Benavidez,Jussier Formiga,Joseph Benavidez,KO/TKO,1.0,3:07,Flyweight,False,MALE,3,162.56,125.0,165.1,Southpaw,29,,165.1,125.0,170.18,Orthodox,28,,48.3333,0.342,,,1.3333,0.248,,0.5,9.5,0.31,,,2.0,0.25,,0.0,5,1,0,2,0,2,0,3,1,1,0,1,0,0,0,1,-720.0,580.0,,,,,,ufc_master,,,
8066dbb0b35b,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Francisco Trinaldo,Piotr Hallmann,Piotr Hallmann,SUB,2.0,3:50,Lightweight,False,MALE,3,175.26,155.0,177.8,Southpaw,35,,175.26,155.0,180.34,Orthodox,26,,20.75,0.628,,,0.75,0.35,,1.0,,,,,,,,,3,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,-310.0,280.0,,,,,,ufc_master,,,
b3e60d174c6e,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Rafael Natal,Tor Troeng,Rafael Natal,DEC,3.0,5:00,Middleweight,False,MALE,3,182.88,185.0,193.04,Orthodox,30,,187.96,185.0,195.58,Orthodox,30,,40.8571,0.476,,,2.8571,0.396,,0.8571,6.0,0.54,,,1.0,1.0,,1.0,4,3,0,2,0,0,1,3,1,0,0,1,0,0,1,0,-250.0,230.0,,,,,,ufc_master,,,
